Entity,Code,Year,Hydropower (terawatt-hours),Wind (terawatt-hours),Solar (terawatt-hours),Other renewables (modern biofuels; geothermal; wave & tidal) (terawatt-hours)
Africa,,1965,14.278805574733003,0,0,0
Africa,,1966,15.649048937511,0,0,0
Africa,,1967,16.158332959103998,0,0,0
Africa,,1968,18.622982764834003,0,0,0
Africa,,1969,21.582896820817,0,0,0
Africa,,1970,27.076287015552,0,0,0
Africa,,1971,25.836605304094004,0,0,0.164
Africa,,1972,29.836878415376,0,0,0.16499999999999998
Africa,,1973,29.803741951533002,0,0,0.16999999999999998
Africa,,1974,35.089185489357014,0,0,0.175
Africa,,1975,36.87904837115801,0,0,0.172
Africa,,1976,40.861179239816025,0,0,0.185
Africa,,1977,45.083351122531006,0,0,0.189
Africa,,1978,46.08507934057501,0,0,0.195
Africa,,1979,47.28020678387999,0,0,0.201
Africa,,1980,46.0301705558753,0,0,0.20700000000000002
Africa,,1981,48.37744646187052,0,0,0.218
Africa,,1982,48.63271473477219,0,0,0.236
Africa,,1983,45.5089146618705,0,0,0.23
Africa,,1984,45.12596031942445,0,0,0.234
Africa,,1985,48.126391051958436,0,0,0.269
Africa,,1986,51.031881901358915,0,0,0.659
Africa,,1987,48.35233630842446,0,0,0.6579999999999999
Africa,,1988,52.38957275713989,0,0,0.626
Africa,,1989,55.791350767127106,0,0,0.6170000000000001
Africa,,1990,57.730296923237994,0,0,0.7321578947368422
Africa,,1991,60.70288481276198,0,0,0.738421052631579
Africa,,1992,58.41492326942424,0,0,0.730421052631579
Africa,,1993,57.3304031569076,0.002,0,0.7154210526315791
Africa,,1994,58.0540989657866,0.0054,0,0.6004736842105264
Africa,,1995,61.85884097562625,0.0063,0,0.7454736842105264
Africa,,1996,63.22384351887144,0.0070999999999999995,0,0.9484615089636665
Africa,,1997,64.65638458851953,0.0072,0,1.0334615089636667
Africa,,1998,68.17047554001691,0.0076,0,1.3338703863483865
Africa,,1999,71.8676586126517,0.0318,0,1.2665545968747023
Africa,,2000,74.70620373158603,0.23249999999999998,0.002,1.6196315789473685
Africa,,2001,80.91176207108246,0.45808000000000004,0.002,1.709421052631579
